"URI","Label","Definition","Notation","Status","AcceptedDate","owl:sameAs"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5100","Sub-Mediterranean and temperate scrub","","5100","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10092"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5110","Stable xero-thermophilous formations with Buxus sempervirens on rock slopes (Berberidion pp)","","5110","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10093"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5120","Mountain Cytisus purgans formations","","5120","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10094"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5130","Juniperus communis formations on heaths or calcareous grasslands","","5130","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10095"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5140","Cistus palhinhae formations on maritime wet heaths","","5140","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10096"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5200","Mediterranean arborescent matorral","","5200","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10097"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5210","Arborescent matorral with Juniperus spp","","5210","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10098"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5220","Arborescent matorral with Zyziphus","","5220","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10099"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5230","Arborescent matorral with Laurus nobilis","","5230","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10100"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5300","Thermo-Mediterranean and pre-steppe brush","","5300","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10101"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5310","Laurus nobilis thickets","","5310","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10102"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5320","Low formations of Euphorbia close to cliffs","","5320","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10103"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5330","Thermo-Mediterranean and pre-desert scrub","","5330","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10104"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5400","Phrygana","","5400","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10105"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5410","West Mediterranean clifftop phryganas (Astragalo-Plantaginetum subulatae)","","5410","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10106"
