Waarde2;NaamWetenschappelijk1;NaamNederlands;Omschrijving1
Indigeniteit;Centaurium pulchellum (Sw.) Druce;Fraai duizendguldenkruid;inheems
Indigeniteit;Centranthus calcitrapa (L.) Dufr.;;neofyt
Indigeniteit;Centranthus ruber (L.) DC.;Rode spoorbloem;archeofyt of neofyt
Indigeniteit;Centunculus minimus L.;Dwergbloem;inheems
Indigeniteit;Cephalanthera damasonium (Mill.) Druce;Bleek bosvogeltje;inheems
Indigeniteit;Cephalanthera longifolia (L.) Fritsch;Wit bosvogeltje;inheems
Indigeniteit;Cerastium arvense L.;Akkerhoornbloem;inheems
Indigeniteit;Cerastium diffusum Pers.;Scheve hoornbloem;inheems
Indigeniteit;Cerastium fontanum Baumg.;Gewone hoornbloem;inheems
Indigeniteit;Cerastium glomeratum Thuill.;Kluwenhoornbloem;inheems
Indigeniteit;Cerastium pumilum Curt.;Steenhoornbloem;inheems
Indigeniteit;Cerastium semidecandrum L.;Zandhoornbloem;inheems
Indigeniteit;Cerastium tomentosum L.;Viltige hoornbloem;neofyt
Indigeniteit;Ceratocapnos claviculata (L.) Lidén;Rankende helmbloem;inheems
Indigeniteit;Ceratophyllum demersum L.;Grof hoornblad;inheems
Indigeniteit;Ceratophyllum submersum L.;Fijn hoornblad;inheems
Indigeniteit;Ceterach officinarum Willd.;Schubvaren;inheems
Indigeniteit;Chaenorrhinum minus (L.) Lange;Kleine leeuwenbek;archeofyt
Indigeniteit;Chaerophyllum temulum L.;Dolle kervel;inheems
Indigeniteit;Chelidonium majus L.;Stinkende gouwe;archeofyt
Indigeniteit;Chenopodium album L.;Melganzenvoet;inheems
Indigeniteit;Chenopodium ambrosioides L.;Welriekende ganzenvoet;neofyt
Indigeniteit;Chenopodium berlandieri Moq.;Texaanse ganzenvoet;neofyt
Indigeniteit;Chenopodium bonus-henricus L.;Brave hendrik;archeofyt
Indigeniteit;Chenopodium chenopodioides (L.) Aell.;Beursjesganzenvoet;inheems
Indigeniteit;Chenopodium ficifolium Smith;Stippelganzenvoet;inheems
Indigeniteit;Chenopodium foliosum Aschers.;Rode aardbeispinazie;neofyt
Indigeniteit;Chenopodium glaucum L.;Zeegroene ganzenvoet;archeofyt
Indigeniteit;Chenopodium hybridum L.;Esdoornganzenvoet;inheems
Indigeniteit;Chenopodium murale L.;Muurganzenvoet;inheems
Indigeniteit;Chenopodium polyspermum L.;Korrelganzenvoet;inheems
Indigeniteit;Chenopodium pumilio R. Brown;Liggende ganzenvoet;neofyt
Indigeniteit;Chenopodium rubrum L.;Rode ganzenvoet;inheems
Indigeniteit;Chenopodium vulvaria L.;Stinkende ganzenvoet;inheems
Indigeniteit;Chondrilla juncea L.;Knikbloem;neofyt
Indigeniteit;Chrysanthemum segetum L.;Gele ganzenbloem;inheems
Indigeniteit;Chrysosplenium alternifolium L.;Verspreidbladig goudveil;inheems
Indigeniteit;Chrysosplenium oppositifolium L.;Paarbladig goudveil;inheems
Indigeniteit;Cicendia filiformis (L.) Delarbre;Draadgentiaan;inheems
Indigeniteit;Cichorium intybus L.;Wilde cichorei;archeofyt
Indigeniteit;Cicuta virosa L.;Waterscheerling;inheems
Indigeniteit;Circaea lutetiana L.;Groot heksenkruid;inheems
Indigeniteit;Cirsium acaule Scop.;Aarddistel;inheems
Indigeniteit;Cirsium arvense (L.) Scop.;Akkerdistel;inheems
Indigeniteit;Cirsium dissectum (L.) Hill;Spaanse ruiter;inheems
Indigeniteit;Cirsium eriophorum (L.) Scop.;Wollige distel;inheems
Indigeniteit;Cirsium oleraceum (L.) Scop.;Moesdistel;inheems
Indigeniteit;Cirsium palustre (L.) Scop.;Kale jonker;inheems
Indigeniteit;Cirsium rivulare (Jacq.) All.;Oeverdistel;neofyt
Indigeniteit;Cirsium vulgare (Savi) Ten.;Speerdistel;inheems
Indigeniteit;Cladium mariscus (L.) Pohl;Galigaan;inheems
Indigeniteit;Claytonia perfoliata Donn ex Willd.;Winterpostelein;neofyt
Indigeniteit;Claytonia sibirica L.;Roze winterpostelein;neofyt
Indigeniteit;Clematis vitalba L.;Bosrank;inheems
Indigeniteit;Clinopodium vulgare L.;Borstelkrans;inheems
Indigeniteit;Cochlearia danica L.;Deens lepelblad;inheems
Indigeniteit;Cochlearia officinalis L.;Echt lepelblad;inheems
Indigeniteit;Coeloglossum viride (L.) Hartm.;Groene nachtorchis;inheems
Indigeniteit;Coincya monensis (L.) Greuter et Burdet;Muurbloemmosterd;neofyt
Indigeniteit;Colchicum autumnale L.;Herfsttijloos;inheems
Indigeniteit;Colutea arborescens L.;Europese blazenstruik;neofyt
Indigeniteit;Comarum palustre L.;Wateraardbei;inheems
Indigeniteit;Conium maculatum L.;Gevlekte scheerling;inheems
Indigeniteit;Conopodium majus (Gouan) Loret;Franse aardkastanje;inheems
Indigeniteit;Consolida regalis S.F. Gray;Wilde ridderspoor;archeofyt
Indigeniteit;Convallaria majalis L.;Lelietje-van-dalen;inheems
Indigeniteit;Convolvulus arvensis L.;Akkerwinde;inheems
Indigeniteit;Conyza bilbaoana J. Rémy;Ruige fijnstraal;neofyt
