Family;Horticultural name;Taxon category;Confidence level determination;Retailer 1;Retailer 2;Retailer 3;Retailer 4;Retailer 5;Plant producer 1;Plant producer 2;Unknown Plant producer;Retailer 2*;Retailer 3*;Retailer 4;Retailer 5;Retailer 6;Retailer 7;Retailer 8;Retailer 9;Retailer 10;Retailer 11;Plant producer 1;Plant producer 2;Plant producer 3;Plant producer 4;Plant producer 5;Unknown Plant producer;Belgian Consensus List;Belgian Communication List;European Union List
Phrymaceae;Mimulus ringens;species;high;x;x;x;x;x;x;x;;;;x;;;x;;;;;;x;;;;;;;
Poaceae;Miscanthus zebrinus;species;high;;;;x;;;x;;;;;;;;;;;;;;;;;;;;
Boraginaceae‎;Myosotis scorpioides ;species;high;x;x;;x;x;x;x;;;;;x;;;;;;;;x;;;;;;;
Boraginaceae‎;Myosotis scorpioides 'Ice Pearl';cultivar;high;x;;x;x;x;x;x;;;;;;;x;;x;;x;;x;;;;;;;
Haloragaceae;Myriophyllum simulans;species;medium;x;;;;;x;;;;;;;;;;;;;;;;;;;;;
Haloragaceae;Myriophyllum crispatum;species;medium;;x;;;;;x;;;;;;;;;;;;;;;;;;;;
Haloragaceae;Myriophyllum;genus;high;x;x;x;x;x;x;x;;;;x;x;;;;;;;;x;;;;;;;
Haloragaceae;Myriophyllum spicatum;species;high;;x;x;;;;x;x;x;;;;;;x;x;;;;x;;;;x;;;
Brassicaceae;Nasturtium officinale ;species;high;x;;;;;x;;;;;x;x;;;;x;;x;;x;;;;;;;
Nelumbonaceae;Nelumbo nucifera (unidentified cultivar);cultivar;low;;x;;x;;;x;;;;;;;x;x;;;x;;x;;;;;;;
Nelumbonaceae;Nelumbo nucifera 'Alba plena';cultivar;medium;;x;;x;;;x;;;;;;;x;;;;;;x;;;;;;;
Nelumbonaceae;Nelumbo nucifera 'Rosea plena';cultivar;medium;;;;x;;;x;;;;;;;x;;;;;;x;;;;;;;
Nymphaeaceae;Nuphar lutea;species;high;x;x;x;x;x;x;x;;;;;;x;;;;;;;x;;;;x;;;
Nymphaeaceae;Nymphaea (unidentified hybrid 1);hybrid;low;;x;;;;;x;;;;;;;x;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea (unidentified hybrid 2);hybrid;low;;;;;;;;;;;x;x;;x;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea (unidentified hybrid 3);hybrid;low;;;;;;;;;;;;x;;x;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea (unidentified hybrid 4);hybrid;low;;;;;;;;;;;x;;;;;;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea (unidentified hybrid 5);hybrid;low;;x;x;;;;x;;;;;;;;;;;x;;;;x;;;;;
Nymphaeaceae;Nymphaea (unidentified hybrid 6);hybrid;low;;;;;;;;;;;x;;;;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea (unidentified hybrid 7);hybrid;low;;;;;;;;;;;;;;;;;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Albatros';hybrid;high;;x;;x;;;x;;;;;;;;x;;;x;;;;;;;;;
Nymphaeaceae;Nymphaea 'Almost Black';hybrid;high;;x;;;;;x;;;;x;;;;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'American Star';hybrid;high;;;;;;;;;;;x;;;;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Attraction';hybrid;high;x;x;x;x;x;x;x;;;;x;x;;;;x;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Aurora';hybrid;high;x;x;;x;x;x;x;;;;;x;;;x;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Burgundy Princess';hybrid;high;;;;x;;;x;;;;x;;;;;;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea alba;species;low;x;x;x;x;x;x;x;;;;x;x;;x;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Charles de Meurville';hybrid;high;;x;;x;x;;x;;;;x;;;;;x;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Colonel A.J. Welch';hybrid;high;;x;x;;;;x;;;;;;;;;;;;;;;;;;;;
Nymphaeaceae;Nymphaea 'Colorado';hybrid;high;;x;x;x;x;;x;;;;;x;;;x;;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Comanche';hybrid;high;;;;;;;;;;;;x;;;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Conqueror';hybrid;high;;;;x;;;x;;;;;;;;;;;;;;;;;;;;
Nymphaeaceae;Nymphaea 'Ellisiana';hybrid;high;;;;;;;;;;;x;;;;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Escarboucle';hybrid;high;x;x;;x;x;x;x;;;;x;x;;;x;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Fabiola';hybrid;high;;x;;x;;;x;;;;;x;;;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Firecrest';hybrid;high;;x;;x;;;x;;;;;;;;;x;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Gladstoniana';hybrid;high;;;;x;x;;x;;;;;;;;;x;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Gonnère';hybrid;high;x;x;x;x;x;x;x;;;;;x;;;;;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Hermine';hybrid;high;x;;;;;x;;;;;;;;;;;;;;;;;;;;;
Nymphaeaceae;Nymphaea 'Hollandia';hybrid;high;;x;;;;;x;;;;x;;;;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Inner Light';hybrid;high;x;;;;;x;;;;;;;;;;;;;;;;;;;;;
Nymphaeaceae;Nymphaea 'James Brydon';hybrid;high;x;;;;;x;;;;;x;x;;;;;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Joey Tomocik';hybrid;high;x;x;x;x;x;x;x;;;;;;;;;;;;;;;;;;;;
Nymphaeaceae;Nymphaea 'King of the Blues';hybrid;high;;;;;;;;;;;;;;;x;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Laydekeri Lilacea';hybrid;high;;x;;x;x;;x;;;;;x;;;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Madame Wilfon Gonnère';hybrid;high;x;x;;x;x;x;x;;;;;x;;;x;x;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Mangkala Ubol';hybrid;high;;;;;;;;;;;x;;;;x;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Marliacea Albida';hybrid;high;;x;;x;;;x;;;;;;;;x;;;;x;;;;;;;;
Nymphaeaceae;Nymphaea 'Marliacea Carnea';hybrid;high;;x;;x;x;;x;;;;;x;;x;;;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Marliacea Chromatella';hybrid;high;x;x;;x;;x;x;;;;;x;;x;x;;;x;x;x;;;;;;;
Nymphaeaceae;Nymphaea 'Marliacea Rosea';hybrid;high;;;;x;x;;x;;;;x;;;;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Mayla';hybrid;high;x;;;;;x;;;;;x;;;;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Moorei';hybrid;high;;;;x;;;x;;;;;;;;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Odorata Sulphurea';hybrid;high;;;;x;x;;x;;;;;x;;;;;;;;;;;;;;;
Nymphaeaceae;Nymphaea 'Perry's Baby Red';hybrid;high;x;;;;;x;;;;;;;;;x;;;;x;;;;;;;;
Nymphaeaceae;Nymphaea 'Perry's Fire Opal';hybrid;high;;;;x;;;x;;;;;;;;;;;;;;;;;;;;
Nymphaeaceae;Nymphaea 'Pöstlingberg';hybrid;high;x;;;;;x;;;;;;;;;;;;;;;;;;;;;
Nymphaeaceae;Nymphaea 'Praow';hybrid;high;;;;;;;;;;;;;;;;;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Pygmaea Alba';hybrid;high;;x;;x;;;x;;;;;x;;;x;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Pygmaea Helvola';hybrid;high;;x;x;x;;;x;;;;;;;;;;;;;;;;;;;;
Nymphaeaceae;Nymphaea 'Ray Davies';hybrid;high;;;;;;;;;;;x;;;;x;;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Red Spider';hybrid;high;;;;;;;;;;;x;x;;;;;;x;;x;;;;;;;
Nymphaeaceae;Nymphaea 'Red Star';hybrid;high;;;;x;;;x;;;;;;;;;;;;;;;;;;;;
Nymphaeaceae;Nymphaea 'René Gérard';hybrid;high;;x;x;x;x;;x;;;;;;;;;;;;;;;;;;;;
Nymphaeaceae;Nymphaea 'Rose Arey';hybrid;high;;x;;x;;;x;;;;;;;;;;;;;;;;;;;;
Nymphaeaceae;Nymphaea 'Rosennymphe';hybrid;high;;x;;;;;x;;;;;;;;;;;;;;;;;;;;
Nymphaeaceae;Nymphaea 'Sioux';hybrid;high;;x;;;;;x;;;;x;;;;;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea tetragona;species;medium;;x;;;x;;x;;;;;x;;;x;;;;;x;;;;;;;
Nymphaeaceae;Nymphaea tetragona 'Rubra';cultivar;medium;;x;x;;x;;x;;;;;x;;;x;;;;;x;;;;;;;
