Search results from the CABI Horizon Scanning Tool <2022-01-25>,,,,,,,,,,,,,,,,,,,,
"Area at risk: Belgium ; Source Areas: France, Germany, Luxembourg, Netherlands ; Pathways: N/A (Including datasheets with no pathways data) ; Plant hosts: N/A ; Plant parts in trade: N/A  (Including datasheets with no plant part in trade data) ; Habitats: N/A  (Including datasheets with no habitats data) ; Taxonomic group: N/A",,,,,,,,,,,,,,,,,,,,
"Citation: <CABI, 2022. Horizon Scanning Tool. Crop Protection Compendium. Wallingford, UK: CAB International. https://www.cabi.org/cpc.>",,,,,,,,,,,,,,,,,,,,
Search Url: https://www.cabi.org/HorizonScanningTool/Country/SearchResult?guId=5e905232-cf28-4582-95f8-6b2bb560174f,,,,,,,,,,,,,,,,,,,,
For terms and conditions see: https://www.cabi.org/terms-and-conditions/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Preferred scientific name,International common name,Taxonomic group,ISC content,CPC content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Invasive Somewhere,Total number of presence records,Number of presence records in neighbouring geographic areas,Number of presence records in geographic areas with matching climate,Total Hosts,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Agardhiella subulata,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,invasive,5,2,5,0,,no data,no data,https://www.cabi.org/isc/datasheet/112055
Agelastica alni,alder leaf beetle,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,5,1,5,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3635
Ageratina adenophora,Croftonweed,Plants,Full datasheet,Full datasheet,"pest,hostPlant,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,46,1,23,5,,,,https://www.cabi.org/cpc/datasheet/23243; https://www.cabi.org/isc/datasheet/23243
Ageratum conyzoides,billy goat weed,Plants,Full datasheet,Full datasheet,"pest,hostPlant,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,235,1,53,25,,,,https://www.cabi.org/cpc/datasheet/3572; https://www.cabi.org/isc/datasheet/3572
Aglais urticae,small tortoiseshell butterfly,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,,17,3,14,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/56095
Agrilus hyperici,"st.John's wort root, borer",Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Buprestidae,,7,1,7,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3775
Agrilus viridis,"beech, borer",Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Buprestidae,,5,1,4,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3784
Agriopis aurantiaria,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,,8,2,8,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3718
Agriopis bajaria,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,,3,1,3,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3719
Agriopis marginaria,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,,5,1,5,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3720
Agriotes sputator,"click beetle, common",Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Elateridae,,22,3,19,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3757
Agromyza frontella,alfalfa blotch leafminer,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Agromyzidae,,28,3,18,3,no data,,no data,https://www.cabi.org/cpc/datasheet/3655
Agromyza megalopsis,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Agromyzidae,,10,2,9,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3659
Agromyza nigrella,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Agromyzidae,,2,1,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3662
Agromyza nigrociliata,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Agromyzidae,,2,1,2,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3661
