taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate,scenario
8049140,Aloysia citrodora,Cfb,Temperate oceanic climate,52,187,0.27807486631016043,2051-2075-A1FI
2977289,Ononis diffusa,Csa,Hot-summer Mediterranean climate,85,171,0.49707602339181284,2076-2100-A1FI
6027306,Eryngium tricuspidatum,Csa,Hot-summer Mediterranean climate,124,141,0.8794326241134752,2076-2100-A1FI
8340805,Oenothera longiflora,Cfb,Temperate oceanic climate,84,227,0.3700440528634361,2071-2100_Beck
8340805,Oenothera longiflora,Cfb,Temperate oceanic climate,84,227,0.3700440528634361,2001-2025-A1FI
8340805,Oenothera longiflora,Cfb,Temperate oceanic climate,84,227,0.3700440528634361,2026-2050-A1FI
8340805,Oenothera longiflora,Cfb,Temperate oceanic climate,84,227,0.3700440528634361,2051-2075-A1FI
4106693,Alopecurus utriculatus,Csa,Hot-summer Mediterranean climate,164,204,0.803921568627451,2076-2100-A1FI
8340805,Oenothera longiflora,Csa,Hot-summer Mediterranean climate,51,227,0.22466960352422907,2076-2100-A1FI
5410181,Campanula alliariifolia,Cfb,Temperate oceanic climate,80,277,0.2888086642599278,2071-2100_Beck
5329640,Limnobium spongia,Cfa,Humid subtropical climate,297,329,0.9027355623100304,2071-2100_Beck
5410181,Campanula alliariifolia,Cfb,Temperate oceanic climate,80,277,0.2888086642599278,2001-2025-A1FI
5410181,Campanula alliariifolia,Cfb,Temperate oceanic climate,80,277,0.2888086642599278,2026-2050-A1FI
5410181,Campanula alliariifolia,Cfb,Temperate oceanic climate,80,277,0.2888086642599278,2051-2075-A1FI
5329640,Limnobium spongia,Cfa,Humid subtropical climate,297,329,0.9027355623100304,2051-2075-A1FI
5329640,Limnobium spongia,Cfa,Humid subtropical climate,297,329,0.9027355623100304,2076-2100-A1FI
8841683,Matricaria aurea,Csa,Hot-summer Mediterranean climate,36,110,0.32727272727272727,2076-2100-A1FI
5329454,Najas gracillima,Cfa,Humid subtropical climate,64,225,0.28444444444444444,2071-2100_Beck
5329454,Najas gracillima,Cfa,Humid subtropical climate,64,225,0.28444444444444444,2051-2075-A1FI
5359185,Trifolium phleoides,Csa,Hot-summer Mediterranean climate,42,130,0.3230769230769231,2076-2100-A1FI
5329454,Najas gracillima,Cfa,Humid subtropical climate,64,225,0.28444444444444444,2076-2100-A1FI
3046776,Sisymbrium assoanum,Cfb,Temperate oceanic climate,9,28,0.32142857142857145,2071-2100_Beck
3046776,Sisymbrium assoanum,Cfb,Temperate oceanic climate,9,28,0.32142857142857145,2001-2025-A1FI
3046776,Sisymbrium assoanum,Cfb,Temperate oceanic climate,9,28,0.32142857142857145,2026-2050-A1FI
3046776,Sisymbrium assoanum,Cfb,Temperate oceanic climate,9,28,0.32142857142857145,2051-2075-A1FI
3603047,Papaver apulum,Csa,Hot-summer Mediterranean climate,147,255,0.5764705882352941,2076-2100-A1FI
3883382,Ballota acetabulosa,Csa,Hot-summer Mediterranean climate,144,226,0.6371681415929203,2076-2100-A1FI
3046776,Sisymbrium assoanum,Csa,Hot-summer Mediterranean climate,9,28,0.32142857142857145,2076-2100-A1FI
7691448,Anthemis tomentosa,Csa,Hot-summer Mediterranean climate,159,200,0.795,2076-2100-A1FI
7671615,Trifolium argutum,Csa,Hot-summer Mediterranean climate,80,83,0.963855421686747,2076-2100-A1FI
5361977,Sedum mexicanum,Cfa,Humid subtropical climate,196,259,0.7567567567567568,2071-2100_Beck
