taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate
5329266,Hydrocharis morsus-ranae,Dfa,Hot-summer humid continental climate,5659,66026,0.08570866022475994
5361760,Myriophyllum spicatum,Dfd,Extremely cold subarctic climate,2,52699,3.795138427674149e-5
5361760,Myriophyllum spicatum,BSh,Hot semi-arid (steppe) climate,25,52699,4.743923034592687e-4
5361760,Myriophyllum spicatum,BWk,Cold desert climate,19,52699,3.605381506290442e-4
5361760,Myriophyllum spicatum,BWh,Hot deserts climate,33,52699,6.261978405662347e-4
5361760,Myriophyllum spicatum,Aw,"Tropical savanna, wet",10,52699,1.8975692138370747e-4
5361760,Myriophyllum spicatum,Dwc,Monsoon-influenced subarctic climate,21,52699,3.984895349057857e-4
5329266,Hydrocharis morsus-ranae,Cfa,Humid subtropical climate,26,66026,3.937842668039863e-4
5361760,Myriophyllum spicatum,As,Tropical dry savanna climate,1,52699,1.8975692138370747e-5
5361760,Myriophyllum spicatum,Af,Tropical rainforest climate,2,52699,3.795138427674149e-5
5329266,Hydrocharis morsus-ranae,ET,Tundra,1,66026,1.5145548723230243e-5
5361760,Myriophyllum spicatum,Dsc,Dry-summer regular subarctic climate,5,52699,9.487846069185373e-5
5361760,Myriophyllum spicatum,Cwc,Cold subtropical highland climate or subpolar oceanic climate with dry winters,2,52699,3.795138427674149e-5
5361760,Myriophyllum spicatum,Am,Tropical monsoon climate,4,52699,7.590276855348299e-5
5329266,Hydrocharis morsus-ranae,Dwc,Monsoon-influenced subarctic climate,5,66026,7.572774361615121e-5
5329266,Hydrocharis morsus-ranae,BSk,Cold semi-arid (steppe) climate,38,66026,5.755308514827492e-4
5329266,Hydrocharis morsus-ranae,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,1,66026,1.5145548723230243e-5
2864467,Butomus umbellatus,Dwa,Monsoon-influenced hot-summer humid continental climate,13,60018,2.1660168616081843e-4
5403531,Crepis biennis,Cfb,Temperate oceanic climate,38646,56922,0.6789290608200695
2864467,Butomus umbellatus,Cfb,Temperate oceanic climate,46990,60018,0.7829317871305275
2864467,Butomus umbellatus,Dfb,Warm-summer humid continental climate,10117,60018,0.1685660968376154
2864467,Butomus umbellatus,Cfc,Subpolar oceanic climate,9,60018,1.4995501349595122e-4
5403531,Crepis biennis,NA,NA,54,56922,9.486665963950669e-4
9310494,Crepis biennis,Dfb,Warm-summer humid continental climate,16352,56922,0.28727029970837287
2864467,Butomus umbellatus,Dfc,Subarctic climate,1078,60018,0.01796127828318171
5403531,Crepis biennis,ET,Tundra,421,56922,0.007396085871894873
5403531,Crepis biennis,Dfc,Subarctic climate,1281,56922,0.02250447981448298
5403531,Crepis biennis,Cfa,Humid subtropical climate,44,56922,7.729875970626471e-4
2864467,Butomus umbellatus,NA,NA,191,60018,0.0031823786197474092
2864467,Butomus umbellatus,Cfa,Humid subtropical climate,251,60018,0.0041820787097204175
2864467,Butomus umbellatus,Dfa,Hot-summer humid continental climate,651,60018,0.010846745976207137
2864467,Butomus umbellatus,Csb,Warm-summer Mediterranean climate,19,60018,3.1657169515811925e-4
5403531,Crepis biennis,Cfc,Subpolar oceanic climate,47,56922,8.25691296862373e-4
2864467,Butomus umbellatus,Csa,Hot-summer Mediterranean climate,205,60018,0.0034156419740744444
5403531,Crepis biennis,Csb,Warm-summer Mediterranean climate,23,56922,4.0406169846456553e-4
2864467,Butomus umbellatus,BSk,Cold semi-arid (steppe) climate,310,60018,0.005165117131527209
2864467,Butomus umbellatus,Dwb,Monsoon-influenced warm-summer humid continental climate,22,60018,3.665566996567696e-4
5403531,Crepis biennis,Dsb,"Warm, dry-summer continental climate",4,56922,7.027159973296792e-5
2864467,Butomus umbellatus,Dwc,Monsoon-influenced subarctic climate,118,60018,0.0019660768436135824
2864467,Butomus umbellatus,Dsb,"Warm, dry-summer continental climate",11,60018,1.832783498283848e-4
2864467,Butomus umbellatus,Cwa,Monsoon-influenced humid subtropical climate,6,60018,9.997000899730081e-5
2864467,Butomus umbellatus,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,3,60018,4.9985004498650404e-5
2864467,Butomus umbellatus,BWk,Cold desert climate,16,60018,2.665866906594688e-4
5403531,Crepis biennis,Am,Tropical monsoon climate,1,56922,1.756789993324198e-5
2864467,Butomus umbellatus,EF,Ice cap climate,1,60018,1.66616681662168e-5
